mote_id,monitored_time,on_time,tx_time,rx_time,int_time
7,101.0,2.0,1.0,0.0,0.0
8,101.0,2.0,1.0,0.0,0.0
9,101.0,2.0,1.0,0.0,0.0
10,101.0,2.0,1.0,0.0,0.0
0,101.0,1.0,0.0,0.0,0.0
1,101.0,2.0,0.0,0.0,0.0
2,101.0,2.0,1.0,0.0,0.0
3,101.0,2.0,1.0,0.0,0.0
4,101.0,0.0,0.0,0.0,0.0
5,101.0,1.0,0.0,0.0,0.0
6,101.0,1.0,0.0,0.0,0.0
7,101.0,2.0,1.0,0.0,0.0
8,101.0,2.0,1.0,0.0,0.0
9,101.0,2.0,1.0,0.0,0.0
10,101.0,2.0,1.0,0.0,0.0
0,105.0,1.0,0.0,0.0,0.0
1,105.0,2.0,0.0,0.0,0.0
2,105.0,2.0,1.0,0.0,0.0
3,105.0,2.0,1.0,0.0,0.0
4,105.0,0.0,0.0,0.0,0.0
5,105.0,1.0,0.0,0.0,0.0
6,105.0,1.0,0.0,0.0,0.0
7,105.0,2.0,1.0,0.0,0.0
8,105.0,2.0,1.0,0.0,0.0
9,105.0,2.0,1.0,0.0,0.0
10,105.0,2.0,1.0,0.0,0.0
0,105.0,1.0,0.0,0.0,0.0
1,105.0,2.0,0.0,0.0,0.0
2,105.0,2.0,1.0,0.0,0.0
3,105.0,2.0,1.0,0.0,0.0
4,105.0,0.0,0.0,0.0,0.0
5,105.0,1.0,0.0,0.0,0.0
6,105.0,1.0,0.0,0.0,0.0
7,105.0,2.0,1.0,0.0,0.0
8,105.0,2.0,1.0,0.0,0.0
9,105.0,2.0,1.0,0.0,0.0
10,105.0,2.0,1.0,0.0,0.0
0,105.0,1.0,0.0,0.0,0.0
1,105.0,2.0,0.0,0.0,0.0
2,105.0,2.0,1.0,0.0,0.0
3,105.0,2.0,1.0,0.0,0.0
4,105.0,0.0,0.0,0.0,0.0
5,105.0,1.0,0.0,0.0,0.0
6,105.0,1.0,0.0,0.0,0.0
7,105.0,2.0,1.0,0.0,0.0
8,105.0,2.0,1.0,0.0,0.0
9,105.0,2.0,1.0,0.0,0.0
10,105.0,2.0,1.0,0.0,0.0
0,109.0,1.0,0.0,0.0,0.0
1,109.0,2.0,0.0,0.0,0.0
2,109.0,2.0,1.0,0.0,0.0
3,109.0,2.0,1.0,0.0,0.0
4,109.0,0.0,0.0,0.0,0.0
5,109.0,1.0,0.0,0.0,0.0
6,109.0,1.0,0.0,0.0,0.0
7,109.0,2.0,1.0,0.0,0.0
8,109.0,2.0,1.0,0.0,0.0
9,109.0,2.0,1.0,0.0,0.0
10,109.0,2.0,1.0,0.0,0.0
0,109.0,1.0,0.0,0.0,0.0
1,109.0,2.0,0.0,0.0,0.0
2,109.0,2.0,1.0,0.0,0.0
3,109.0,2.0,1.0,0.0,0.0
4,109.0,0.0,0.0,0.0,0.0
5,109.0,1.0,0.0,0.0,0.0
6,109.0,1.0,0.0,0.0,0.0
7,109.0,2.0,1.0,0.0,0.0
8,109.0,2.0,1.0,0.0,0.0
9,109.0,2.0,1.0,0.0,0.0
10,109.0,2.0,1.0,0.0,0.0
0,109.0,1.0,0.0,0.0,0.0
1,109.0,2.0,0.0,0.0,0.0
2,109.0,2.0,1.0,0.0,0.0
3,109.0,2.0,1.0,0.0,0.0
